Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Lophonetta_specularioides,Anatidae,ANSERIFORMES,0.195,continental,resident,0.021,3.595,1010.25,4.84,5,-0.01,0.105,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Lophophorus_impejanus,Phasianidae,GALLIFORMES,0.159,continental,resident,NA,2.349,2077.5,6.2,2,-0.166,0.114,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Lophorina_superba,Paradisaeidae,PASSERIFORMES,0.148,continental,resident,0.071,2.302,77.33,2.6,2,0.81,0.109,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Lophura_diardi,Phasianidae,GALLIFORMES,0.364,continental,resident,0.071,1.672,875,3.9,1,-0.145,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Lophura_nycthemera,Phasianidae,GALLIFORMES,0.391,continental,resident,NA,2.207,1490,4.74,7,-0.249,0.113,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Lophura_swinhoii,Phasianidae,GALLIFORMES,0.402,continental,resident,0.154,0.999,1100,4.25,5,-0.188,0.108,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Loriculus_amabilis,Psittacidae,PSITTACIFORMES,0.19,insular,resident,0,3.105,20,1.14,4,0.744,0.042,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Loriculus_galgulus,Psittacidae,PSITTACIFORMES,0.284,continental,resident,0,3.508,28.5,1.49,6,0.813,0.043,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Loriculus_philippensis,Psittacidae,PSITTACIFORMES,0.289,insular,resident,0.059,2.854,34.9,1.48,2,0.693,0.024,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Loriculus_vernalis,Psittacidae,PSITTACIFORMES,0.176,continental,resident,0.059,3.7,35.7,1.43,2,0.646,0.071,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Lorius_garrulus,Psittacidae,PSITTACIFORMES,0.263,insular,resident,0,2.381,143,5.17,7,1.153,0.045,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
